Gene	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID
RAD18	C6_01770W_A	0.0625812683149698	0.1552569540972261	0.2504681097788233	0.13450444872499223	4.556779421614445	0.022571902202621574	0.014287061843394833	-0.00840624472807382	0.025916153105080865	0.025916153105080865	3641637
RAD2	C4_03550W_A	0.0347321454509979	0.10135734272092485	0.2357307414669139	0.11164308114770044	5.347181831245492	0.02403944178113812	0.006608633567667017	0.003224067365525409	0.021089538806004154	0.021089538806004154	3645374
RAD23	C2_01850W_B	0.3428022281747684	0.514836794265265	0.0974143510742638	0.10268810719352985	7.044951796731296	0.010943179737967226	0.0010695922988000813	0.008424341434997323	0.022363401832288538	0.022363401832288538	3635834
RAD3	C7_00050C_A	1.500772135141459e-5	1.754432052884976e-4	0.4452196414427444	0.10285593747341076	6.9921808795804505	0.06020019111025168	0.00143949582871293	0.0044335704793822955	0.02207015722358526	0.02207015722358526	3638014
RAD32	C2_03540W_A	0.010221801032583803	0.03988375507608942	0.312214281902131	0.12156767377397085	5.9636952926074445	0.05581351471426824	0.003308644580498515	0.029532909434645038	0.01993502942122619	0.029532909434645038	3637340
RAD50	C3_02000W_A	0.9761182509655182	0.9850633754467952	0.003047784540541465	0.10181067840776041	5.986882104304982	0.012148283913878967	0.00311171223266242	0.010769091925864158	0.019922541629222943	0.019922541629222943	3636594
RAD51	CR_02200C_A	2.3244403281392202e-4	0.0018453146786106566	-0.5416472509592936	0.14715216316297938	6.565258643066035	0.1235994606490468	0.001476694555823605	0.0466427701631633	0.020358107658825227	0.0466427701631633	3644944
RAD52	C6_00510C_A	0.00196017556388825	0.010771029227559214	-0.3299400565900003	0.10656287349665598	5.543875561636008	0.04978740888713586	0.004624351111381068	0.017716674619119376	0.020610417794984057	0.020610417794984057	3647148
RAD53	C3_03810W_A	0.6959044168915505	0.8074949624244981	-0.07421318203187204	0.18987394745118055	5.403870483888193	0.07163122439781983	0.0059293515926621704	0.07418646156443488	0.02093028773315606	0.07418646156443488	3645633
RAD54	C1_13660W_A	0.06431155443391262	0.1584451755432911	-0.26703321280268244	0.1443411971312144	5.1790495278184165	0.06031872362906321	0.007265818560696654	0.03903280630435246	0.02171783810709496	0.03903280630435246	3636192
RAD57	C2_08110W_A	3.331764147979179e-4	0.002516636684210981	-0.4106257345976711	0.11444298948429917	5.09666615263933	0.06744701322359897	0.007006466164555777	0.016547741356421765	0.022098417929007356	0.022098417929007356	3642333
RAD59	C4_05270C_A	9.065590499729345e-6	1.1402753282570962e-4	-0.5165344203515156	0.11638012802000981	4.998254123786896	0.08959592367152831	0.007495607032754068	0.010198843065539948	0.022602913407143432	0.022602913407143432	3648281
RAD6	C7_03870W_A	0.6274775337165767	0.7529658777675847	0.05194234057858349	0.1070357512519383	5.535099232656644	0.01825773310925029	0.004830958444487172	0.015178512174090417	0.020628268324550194	0.020628268324550194	3643143
RAD7	C2_01840C_A	0.005804384902353306	0.02584446810144168	0.2866481432068066	0.10390952399068058	5.875430603844636	0.03011644314409115	0.003972704329990329	0.004361275769951899	0.02002104939438706	0.02002104939438706	3635833
RAD9	C5_02610C_A	0.38693146685633745	0.5576227714279632	-0.09377168540106619	0.10838207072116292	5.497788483563218	0.013555846630209985	0.005396915895813502	0.007304010734598991	0.02070680244598019	0.02070680244598019	3637780
RAM1	C4_03900C_A	0.661186027861772	0.7804377545262097	0.060435220731864775	0.13789298044326115	4.892078705348822	0.03798714841488564	0.008802658660101584	0.03345172812995531	0.023222896943563744	0.03345172812995531	3647859
RAM2	C1_09530W_A	0.02455640532372118	0.07905253160908514	0.27866062130312036	0.12394223851017336	5.486220063945462	0.051439858687063814	0.0053886561538801885	0.028748407150370258	0.02073215074080803	0.028748407150370258	3634767
RAP1	C2_10080W_A	0.3028506783301657	0.47428309540437297	-0.10964112814856287	0.10641262581049041	5.672643771905232	0.00538030575463385	0.004800899836973979	-0.0024682256353891385	0.02036276001165591	0.02036276001165591	3643945
RAS1	C2_10210C_B	1.1793240250863175e-16	1.7577824593911565e-14	-1.0635204625696981	0.12836422357523483	8.168531984646533	0.34622705321193725	3.1433196520301386e-4	0.03630205446607004	0.029737106867531116	0.03630205446607004	3643927
RAS2	C3_04480C_A	0.7682412840210482	0.8591736138310803	0.03476413725323988	0.11797404451013273	6.103799516045122	0.027398242079309194	0.002793812307022718	0.02813479919981901	0.019871214112902033	0.02813479919981901	3635211
RAT1	C4_01080W_A	0.011672471802885654	0.04424111690324493	0.3220847841693492	0.12771540890939367	6.796946817209445	0.06053255219546424	0.0016689331114810178	0.03457823505050484	0.021128060973035177	0.03457823505050484	3635686
RAV2	C6_02850W_A	0.7718809423015772	0.8608219562293309	-0.032350535734390146	0.11158611502938756	5.320784938380389	0.01795560051791744	0.006498353813206019	0.013690092124000547	0.021171559669797786	0.021171559669797786	3639252
RAX1	C3_04490W_A	0.38940567112225105	0.5599702390812495	-0.08659907200845285	0.10061520427427131	6.730049564927112	0.007045360269405081	0.001626280792623036	0.004044797841387474	0.02087020660993995	0.02087020660993995	3635256
RAX2	C1_12510W_A	2.9693355593958256e-12	1.7881998591028194e-10	-0.699224910670438	0.10018743292311232	6.710457326033316	0.15206576808911923	0.0015052347525947502	0.0170729523644678	0.020800369060123315	0.020800369060123315	3647610
RBD1	C1_12290C_A	0.004551355693605325	0.021467707788983346	-0.2821849967976406	0.09945957822069144	6.490315004373421	0.03139119133500412	0.0018023244206752036	0.008794474432763115	0.02018035935674222	0.02018035935674222	3642018
RBE1	C1_14120C_A	2.7568669700163496e-8	7.054266470059003e-7	1.488890128997546	0.267968397945819	4.685260642712874	0.7554009034194087	0.02441037213080085	0.13516087741952987	0.02472675540372766	0.13516087741952987	3643317
RBF1	C6_02840C_A	0.048747665311550656	0.129631391876657	0.28200902809698053	0.14309425832610972	5.0079367737600196	0.061905794247083194	0.012244576111075446	0.03325757225758995	0.022550527707500392	0.03325757225758995	3639251
