Symbol	GeneID
C4_06200W_A	30515282
C4_06180C_A	30515281
C4_06080W_A	30515280
tS(UGA)2	30515279
tT(UGU)2	30515278
C4_05820W_A	30515277
C4_05380C_A	30515276
C4_05040W_A	30515275
C4_04970C_A	30515274
RPL30	30515273
tI(AAU)4	30515272
tQ(UUG)4	30515271
tQ(UUG)5	30515270
C4_04490C_A	30515269
C4_04400C_A	30515268
C4_04390W_A	30515267
C4_04380C_A	30515266
C4_04110W_A	30515265
C4_03960W_A	30515264
C4_03950C_A	30515263
C4_03930C_A	30515262
tD(GUC)2	30515261
tD(GUC)3	30515260
tD(GUC)4	30515259
tG(GCC)2	30515258
tQ(UUG)1	30515257
C4_03400W_A	30515256
C4_03310C_A	30515255
C4_03300C_A	30515254
C4_03040W_A	30515253
tT(UGU)1	30515252
QCR9	30515251
MED20	30515250
C4_02650C_A	30515249
SOD1	30515248
TIM10	30515247
C4_01990W_A	30515246
DPM3	30515245
NHP6A	30515244
C4_01640C_A	30515243
C4_01630C_A	30515242
C4_01620C_A	30515241
C4_01610C_A	30515240
C4_01600C_A	30515239
C4_01590C_A	30515238
C4_01580C_A	30515237
C4_01570C_A	30515236
tS(UGA)3	30515235
CRD2	30515234
tD(GUC)6	30515233
RPL40B	30515232
tG(GCC)4	30515231
tG(GCC)5	30515230
tG(UCC)2	30515229
tG(CCC)1	30515228
C4_00330C_A	30515227
C3_07920W_A	30515226
C3_07580W_A	30515225
tF(GAA)5	30515224
tR(UCU)5	30515223
SNR52	30515222
tY(GUA)3	30515221
tW(CCA)2	30515220
C3_06750W_A	30515219
ECM15	30515218
tH(GUG)3	30515217
C3_06390W_A	30515216
C3_06350W_A	30515215
TSA1B	30515214
C3_06240C_A	30515213
C3_05820W_A	30515212
SNR6	30515211
tV(AAC)6	30515210
tV(AAC)5	30515209
RPS19A	30515208
RPL35	30515207
tK(CUU)2	30515206
C3_04810C_A	30515205
C3_04590W_A	30515204
C3_04190W_A	30515203
C3_04150W_A	30515202
C3_04100W_A	30515201
C3_04080W_A	30515200
tA(AGC)2	30515199
tE(UUC)6	30515198
C3_03920W_A	30515197
tE(UUC)1	30515196
C3_03340C_A	30515195
RUB1	30515194
tK(CUU)1	30515193
tR(UCU)1	30515192
tF(GAA)1	30515191
C3_02710W_A	30515190
C3_02530W_A	30515189
tM(CAU)1	30515188
HRT1	30515187
C3_02270W_A	30515186
C3_02200W_A	30515185
tE(UUC)2	30515184
tY(GUA)2	30515183
